gene,coordinates,chromosome,strand,paralog_group
YAL034C-B,"[(79489, 79842)]",chrI,-,YAL034C-B
YAL034W-A,"[(79718, 80587)]",chrI,+,YAL034W-A
YAL035W,"[(76427, 79435)]",chrI,+,YAL035W
YAL036C,"[(75043, 76152)]",chrI,-,YPL093W
YAL037C-A,"[(73426, 73518)]",chrI,-,YAL037C-A
YAL037C-B,"[(72326, 73300)]",chrI,-,YAL037C-B
YAL037W,"[(74020, 74823)]",chrI,+,YOR342C
YAL038W,"[(71786, 73288)]",chrI,+,YOR347C
YAL039C,"[(68716, 69525)]",chrI,-,YAL039C
YAL040C,"[(65778, 67520)]",chrI,-,YAL040C
YAL041W,"[(62840, 65404)]",chrI,+,YAL041W
YAL042C-A,"[(61231, 61608)]",chrI,-,YAL042C-A
YAL042W,"[(61316, 62563)]",chrI,+,YML067C
YAL043C,"[(58695, 61052)]",chrI,-,YAL043C
YAL044C,"[(57950, 58462)]",chrI,-,YAL044C
YAL044W-A,"[(57518, 57850)]",chrI,+,YAL044W-A
YAL045C,"[(57488, 57796)]",chrI,-,YAL045C
YAL046C,"[(57029, 57385)]",chrI,-,YAL044W-A
YAL047C,"[(54989, 56857)]",chrI,-,YAL047C
YAL047W-A,"[(54584, 54913)]",chrI,+,YAL047W-A
YAL048C,"[(52801, 54789)]",chrI,-,YLR229C
YAL049C,"[(51855, 52595)]",chrI,-,YAL049C
YAL051W,"[(48564, 51707)]",chrI,+,YAL051W
YAL053W,"[(45899, 48250)]",chrI,+,YPL221W
YAL054C,"[(42881, 45022)]",chrI,-,YAL054C
YAL055W,"[(42177, 42719)]",chrI,+,YAL055W
YAL056C-A,"[(38696, 39046)]",chrI,-,YAL056C-A
YAL056W,"[(39259, 41901)]",chrI,+,YOR371C
YAL058W,"[(37464, 38972)]",chrI,+,YAL058W
YAL059C-A,"[(36496, 36918)]",chrI,-,YAL059C-A
YAL059W,"[(36509, 37147)]",chrI,+,YAL059W
YAL060W,"[(35155, 36303)]",chrI,+,YLR070C
YAL061W,"[(33448, 34701)]",chrI,+,YLR070C
YAL062W,"[(31567, 32940)]",chrI,+,YDL215C
YAL063C,"[(24000, 27968)]",chrI,-,YAR050W
YAL063C-A,"[(22395, 22685)]",chrI,-,YAL063C-A
YAL064C-A,"[(13363, 13743)]",chrI,-,YAL064C-A
YAL064W,"[(21566, 21850)]",chrI,+,YAL064W
YAL064W-B,"[(12046, 12426)]",chrI,+,YAL064W-B
YAL065C,"[(11565, 11951)]",chrI,-,YAL065C
YAL066W,"[(10091, 10399)]",chrI,+,YAL066W
YAL067C,"[(7235, 9016)]",chrI,-,YAL067C
YAL067W-A,"[(2480, 2707)]",chrI,+,YMR324C
YAL068C,"[(1807, 2169)]",chrI,-,YIL011W
YAL068W-A,"[(538, 792)]",chrI,+,YER188C-A
YAR002C-A,"[(154065, 154724)]",chrI,-,YAL007C
YAR002W,"[(152257, 153876)]",chrI,+,YAR002W
YAR003W,"[(155005, 156285)]",chrI,+,YAL002W
YAR007C,"[(156754, 158619)]",chrI,-,YAR007C
YAR008W,"[(158966, 159793)]",chrI,+,YAR008W
YAR009C,"[(160597, 164187)]",chrI,-,YAR009C
YAR010C,"[(164544, 165866)]",chrI,-,YAR010C
YAR014C,"[(166742, 168871)]",chrI,-,YAR014C
YAR015W,"[(169375, 170295)]",chrI,+,YAR015W
YAR018C,"[(170396, 171703)]",chrI,-,YAR018C
YAR019C,"[(172211, 175135)]",chrI,-,YJL095W
YAR019W-A,"[(174998, 175330)]",chrI,+,YAR019W-A
YAR020C,"[(176856, 177023)]",chrI,-,YIL011W
YAR023C,"[(179281, 179820)]",chrI,-,YHL044W
YAR027W,"[(183770, 184477)]",chrI,+,YHL044W
YAR028W,"[(184892, 185596)]",chrI,+,YHL044W
YAR029W,"[(186321, 186545)]",chrI,+,YHL044W
YAR030C,"[(186512, 186853)]",chrI,-,YAR030C
YAR031W,"[(186836, 187732)]",chrI,+,YHL044W
YAR033W,"[(188107, 188811)]",chrI,+,YHL044W
YAR035C-A,"[(192337, 192417)]",chrI,-,YAR035C-A
YAR035W,"[(190193, 192256)]",chrI,+,YER024W
YAR042W,"[(192619, 196185)]",chrI,+,YAR042W
YAR047C,"[(201467, 201787)]",chrI,-,YAR047C
YAR050W,"[(203403, 208016)]",chrI,+,YAR050W
YAR053W,"[(208367, 208663)]",chrI,+,YAR053W
YAR060C,"[(217157, 217492)]",chrI,-,YHR212C
YAR064W,"[(220198, 220497)]",chrI,+,YHR213W-B
YAR066W,"[(221049, 221660)]",chrI,+,YHR214W
YAR068W,"[(222406, 222891)]",chrI,+,YAR068W
YAR069C,"[(224011, 224304)]",chrI,-,YAR069C
YAR070C,"[(224563, 224862)]",chrI,-,YAR070C
YAR071W,"[(225460, 226863)]",chrI,+,YBR093C
YAR073W,"[(227742, 228953)]",chrI,+,YHR216W
YAR075W,"[(228844, 229317)]",chrI,+,YAR075W
YBL001C,"[(237153, 237467)]",chrII,-,YBL001C
YBL002W,"[(236492, 236887)]",chrII,+,YDR224C
YBL003C,"[(235394, 235792)]",chrII,-,YOL012C
YBL004W,"[(227636, 235117)]",chrII,+,YBL004W
YBL005W,"[(217470, 220400)]",chrII,+,YER184C
YBL005W-A,"[(221330, 222652)]",chrII,+,YBL005W-A
YBL005W-B,"[(221330, 222634), (222636, 226598)]",chrII,+,YBL005W-B
YBL006C,"[(216587, 217129)]",chrII,-,YBL006C
YBL006W-A,"[(216711, 216860)]",chrII,+,YBL006W-A
YBL007C,"[(212632, 216366)]",chrII,-,YBL007C
YBL008W,"[(209653, 212175)]",chrII,+,YBL008W
YBL008W-A,"[(209409, 209648)]",chrII,+,YBL008W-A
YBL009W,"[(207194, 209224)]",chrII,+,YBL009W
YBL010C,"[(206107, 206949)]",chrII,-,YBL010C
YBL011W,"[(203538, 205817)]",chrII,+,YKR067W
YBL012C,"[(203406, 203807)]",chrII,-,YBL012C
YBL013W,"[(202056, 203261)]",chrII,+,YBL013W
YBL014C,"[(199064, 201748)]",chrII,-,YBL014C
YBL015W,"[(194122, 195702)]",chrII,+,YBL015W
YBL016W,"[(192451, 193512)]",chrII,+,YBL016W
YBL017C,"[(186844, 191583)]",chrII,-,YBL017C
YBL018C,"[(185998, 186352), (186428, 186474)]",chrII,-,YBL018C
YBL019W,"[(184353, 185915)]",chrII,+,YBL019W
YBL020W,"[(182401, 184125)]",chrII,+,YBL020W
YBL021C,"[(181660, 182094)]",chrII,-,YBL021C
YBL022C,"[(177874, 181275)]",chrII,-,YBL022C
YBL023C,"[(174920, 177526)]",chrII,-,YPR019W
YBL024W,"[(172534, 174588)]",chrII,+,YBL024W
YBL025W,"[(171481, 171918)]",chrII,+,YBL025W
YBL026W,"[(170623, 170676), (170805, 171038)]",chrII,+,YBL026W
YBL027W,"[(168423, 168424), (168809, 169376)]",chrII,+,YBR084C-A
YBL028C,"[(167518, 167838)]",chrII,-,YBL028C
YBL029C-A,"[(164488, 164772)]",chrII,-,YBL029C-A
YBL029W,"[(166134, 167264)]",chrII,+,YBL029W
YBL030C,"[(163041, 163997)]",chrII,-,YGR257C
YBL031W,"[(161699, 162715)]",chrII,+,YBL031W
YBL032W,"[(160184, 161329)]",chrII,+,YBL032W
YBL033C,"[(158656, 159693)]",chrII,-,YBL033C
YBL034C,"[(153848, 158389)]",chrII,-,YBL034C
YBL035C,"[(151493, 153610)]",chrII,-,YBL035C
YBL036C,"[(150447, 151220)]",chrII,-,YBL036C
YBL037W,"[(147209, 150286)]",chrII,+,YPR029C
YBL038W,"[(146187, 146885)]",chrII,+,YBL038W
YBL039C,"[(143989, 145728)]",chrII,-,YJR103W
YBL039C-A,"[(144948, 145031)]",chrII,-,YBL039C-A
YBL039W-B,"[(143393, 143572)]",chrII,+,YBL039W-B
YBL040C,"[(142112, 142749), (142847, 142868)]",chrII,-,YBL040C
YBL041W,"[(141247, 141972)]",chrII,+,YGR253C
YBL042C,"[(138341, 140260)]",chrII,-,YLR237W
YBL043W,"[(136688, 137461)]",chrII,+,YBL043W
YBL044W,"[(135998, 136366)]",chrII,+,YBL044W
YBL045C,"[(134143, 135516)]",chrII,-,YBL045C
YBL046W,"[(132424, 133749)]",chrII,+,YBL046W
YBL047C,"[(127895, 132040)]",chrII,-,YJL083W
YBL048W,"[(127299, 127610)]",chrII,+,YBL048W
YBL049W,"[(126828, 127244)]",chrII,+,YBL049W
YBL050W,"[(125125, 125154), (125271, 126119)]",chrII,+,YBL050W
YBL051C,"[(122753, 124759)]",chrII,-,YBL051C
YBL052C,"[(119379, 121874)]",chrII,-,YBL052C
YBL053W,"[(119335, 119709)]",chrII,+,YBL053W
YBL054W,"[(117589, 119166)]",chrII,+,YER088C
YBL055C,"[(115573, 116829)]",chrII,-,YMR262W
YBL056W,"[(113762, 115168)]",chrII,+,YBL056W
YBL057C,"[(112801, 113427)]",chrII,-,YBL057C
YBL058W,"[(111437, 112708)]",chrII,+,YBL058W
YBL059C-A,"[(110125, 110420), (110506, 110539)]",chrII,-,YBL059C-A
YBL059W,"[(110594, 110879), (110949, 111244)]",chrII,+,YER093C-A
YBL060W,"[(107932, 109995)]",chrII,+,YBL060W
YBL061C,"[(105316, 107406)]",chrII,-,YER096W
YBL062W,"[(105308, 105688)]",chrII,+,YBL062W
YBL063W,"[(101886, 105221)]",chrII,+,YBL063W
YBL064C,"[(100371, 101156)]",chrII,-,YDR453C
YBL065W,"[(99963, 100307)]",chrII,+,YBL065W
YBL066C,"[(96669, 100115)]",chrII,-,YLR451W
YBL067C,"[(93639, 95882)]",chrII,-,YER151C
YBL068W,"[(92414, 93394)]",chrII,+,YKL181W
YBL068W-A,"[(91794, 92030)]",chrII,+,YLR070C
YBL069W,"[(90741, 92030)]",chrII,+,YLR070C
YBL070C,"[(90605, 90925)]",chrII,-,YBL070C
YBL071C,"[(90223, 90531)]",chrII,-,YBL071C
YBL071C-B,"[(89458, 89556)]",chrII,-,YBL071C-B
YBL071W-A,"[(89978, 90226)]",chrII,+,YBL071W-A
YBL072C,"[(88523, 89125)]",chrII,-,YER102W
YBL073W,"[(87646, 87957)]",chrII,+,YBL073W
YBL074C,"[(86722, 87789)]",chrII,-,YBL074C
YBL075C,"[(84499, 86448)]",chrII,-,YKL073W
YBL076C,"[(81043, 84261)]",chrII,-,YLR382C
YBL077W,"[(80897, 81328)]",chrII,+,YBL077W
YBL078C,"[(80378, 80731)]",chrII,-,YBL078C
YBL079W,"[(75259, 79767)]",chrII,+,YBL079W
YBL080C,"[(73070, 74695)]",chrII,-,YBL080C
YBL081W,"[(71866, 72972)]",chrII,+,YBL081W
YBL082C,"[(69751, 71127)]",chrII,-,YBL082C
YBL083C,"[(69713, 70138)]",chrII,-,YBL083C
YBL084C,"[(67169, 69445)]",chrII,-,YBL084C
YBL085W,"[(63876, 66818)]",chrII,+,YCR009C
YBL086C,"[(61202, 62602)]",chrII,-,YBL086C
YBL087C,"[(59822, 60193), (60698, 60739)]",chrII,-,YER117W
YBL088C,"[(51019, 59382)]",chrII,-,YHR099W
YBL089W,"[(49574, 50953)]",chrII,+,YER119C
YBL090W,"[(48825, 49358)]",chrII,+,YBL090W
YBL091C,"[(47363, 48628)]",chrII,-,YER078C
YBL091C-A,"[(46565, 47058), (47147, 47180)]",chrII,-,YBL091C-A
YBL092W,"[(45978, 46370)]",chrII,+,YOR210W
YBL093C,"[(44256, 44918)]",chrII,-,YBL093C
YBL094C,"[(43765, 44097)]",chrII,-,YBL094C
YBL095W,"[(43277, 44089)]",chrII,+,YBL095W
YBL096C,"[(43174, 43482)]",chrII,-,YBL096C
YBL097W,"[(40831, 43095)]",chrII,+,YBL097W
YBL098W,"[(39145, 40527)]",chrII,+,YGR255C
YBL099W,"[(37053, 38690)]",chrII,+,YBR127C
YBL100C,"[(36989, 37303)]",chrII,-,YBL100C
YBL100W-A,"[(29935, 31251)]",chrII,+,YBL100W-A
YBL100W-B,"[(29935, 31227), (31229, 35248)]",chrII,+,YBL100W-B
YBL100W-C,"[(28427, 28546)]",chrII,+,YBL100W-C
YBL101C,"[(24946, 28299)]",chrII,-,YPR030W
YBL102W,"[(24098, 24745)]",chrII,+,YBL102W
YBL103C,"[(22076, 23536)]",chrII,-,YBL103C
YBL104C,"[(18177, 21293)]",chrII,-,YBL104C
YBL105C,"[(14241, 17696)]",chrII,-,YBL105C
YBL106C,"[(10847, 13879)]",chrII,-,YBL106C
YBL107C,"[(9961, 10551)]",chrII,-,YBL107C
YBL107W-A,"[(9268, 9372)]",chrII,+,YBL107W-A
YBL108C-A,"[(7605, 7733)]",chrII,-,YIL011W
YBL108W,"[(8177, 8482)]",chrII,+,YMR324C
YBL109W,"[(5790, 6125)]",chrII,+,YHR217C
YBL111C,"[(2907, 4116), (4216, 5009)]",chrII,-,YPR202W
YBL112C,"[(2582, 2899)]",chrII,-,YPR202W
YBL113C,"[(280, 2658)]",chrII,-,YPR202W
YBL113W-A,"[(646, 1128)]",chrII,+,YBL113W-A
YBR001C,"[(238941, 241283)]",chrII,-,YBR001C
YBR002C,"[(241708, 242568)]",chrII,-,YMR101C
YBR003W,"[(242809, 244230)]",chrII,+,YPL069C
YBR004C,"[(244366, 245667)]",chrII,-,YBR004C
YBR005W,"[(245906, 246547)]",chrII,+,YBR005W
YBR006W,"[(247010, 248503)]",chrII,+,YMR170C
YBR007C,"[(248806, 251016)]",chrII,-,YBR007C
YBR008C,"[(252563, 254209)]",chrII,-,YBR008C
YBR009C,"[(255373, 255684)]",chrII,-,YBR009C
YBR010W,"[(256331, 256741)]",chrII,+,YKL049C
YBR011C,"[(257112, 257975)]",chrII,-,YMR267W
YBR012C,"[(259147, 259566)]",chrII,-,YBR012C
YBR012W-A,"[(259869, 261191)]",chrII,+,YBR012W-A
YBR012W-B,"[(259869, 261173), (261175, 265140)]",chrII,+,YBR012W-B
YBR013C,"[(265492, 265881)]",chrII,-,YBR013C
YBR014C,"[(266725, 267336)]",chrII,-,YDR513W
YBR015C,"[(267710, 269503)]",chrII,-,YBR015C
YBR016W,"[(270247, 270633)]",chrII,+,YBR016W
YBR017C,"[(270947, 273703)]",chrII,-,YLR347C
YBR018C,"[(274427, 275527)]",chrII,-,YBR018C
YBR019C,"[(276253, 278352)]",chrII,-,YGL001C
YBR020W,"[(279021, 280607)]",chrII,+,YDR009W
YBR021W,"[(281443, 283344)]",chrII,+,YLR237W
YBR022W,"[(283738, 284271)]",chrII,+,YBR022W
YBR023C,"[(284428, 287925)]",chrII,-,YBR023C
YBR024W,"[(289445, 290350)]",chrII,+,YBR024W
YBR025C,"[(290681, 291865)]",chrII,-,YGR210C
YBR026C,"[(292877, 294019)]",chrII,-,YLR070C
YBR027C,"[(294024, 294356)]",chrII,-,YBR027C
YBR028C,"[(294425, 296002)]",chrII,-,YBR028C
YBR029C,"[(296369, 297742)]",chrII,-,YBR029C
YBR030W,"[(298292, 299950)]",chrII,+,YDR198C
YBR031W,"[(300166, 301254)]",chrII,+,YDR012W
YBR032W,"[(301519, 301821)]",chrII,+,YBR032W
YBR033W,"[(301944, 304703)]",chrII,+,YBR033W
YBR034C,"[(304930, 305976)]",chrII,-,YBR034C
YBR035C,"[(306269, 306955)]",chrII,-,YBR035C
YBR036C,"[(309081, 310313)]",chrII,-,YBR036C
YBR037C,"[(310565, 311452)]",chrII,-,YBR024W
YBR038W,"[(311898, 314789)]",chrII,+,YBR038W
YBR039W,"[(315575, 316510)]",chrII,+,YBR039W
YBR040W,"[(316968, 317864)]",chrII,+,YBR040W
YBR041W,"[(318266, 320275)]",chrII,+,YBR041W
YBR042C,"[(320416, 321609)]",chrII,-,YBR042C
YBR043C,"[(321876, 323945)]",chrII,-,YBR043C
YBR044C,"[(324341, 326059)]",chrII,-,YBR044C
YBR045C,"[(328173, 330092)]",chrII,-,YBR045C
YBR046C,"[(330507, 331511)]",chrII,-,YLR070C
YBR047W,"[(331833, 332360)]",chrII,+,YBR047W
YBR048W,"[(332831, 332875), (333387, 333812)]",chrII,+,YBR048W
YBR049C,"[(334386, 336818)]",chrII,-,YMR213W
YBR050C,"[(337183, 338199)]",chrII,-,YBR050C
YBR051W,"[(337988, 338338)]",chrII,+,YBR051W
YBR052C,"[(338720, 339352)]",chrII,-,YBR052C
YBR053C,"[(339675, 340751)]",chrII,-,YBR053C
YBR054W,"[(343101, 344135)]",chrII,+,YDR033W
YBR055C,"[(344602, 347301)]",chrII,-,YDR416W
YBR056C-B,"[(351293, 351451)]",chrII,-,YBR056C-B
YBR056W,"[(347879, 349384)]",chrII,+,YBR056W
YBR056W-A,"[(351255, 351455)]",chrII,+,YBR056W-A
YBR057C,"[(352193, 353293)]",chrII,-,YBR057C
YBR058C,"[(353672, 356017)]",chrII,-,YER151C
YBR058C-A,"[(356324, 356566)]",chrII,-,YBR058C-A
YBR059C,"[(356861, 360187)]",chrII,-,YPL236C
YBR060C,"[(360652, 362514)]",chrII,-,YBR060C
YBR061C,"[(364787, 365719)]",chrII,-,YCL054W
YBR062C,"[(365976, 366502), (366585, 366600)]",chrII,-,YBR062C
YBR063C,"[(366970, 368184)]",chrII,-,YBR063C
YBR064W,"[(367763, 368191)]",chrII,+,YBR064W
YBR065C,"[(368584, 369678)]",chrII,-,YBR065C
YBR066C,"[(370037, 370699)]",chrII,-,YBR066C
YBR067C,"[(372103, 372735)]",chrII,-,YIL011W
YBR068C,"[(373861, 375690)]",chrII,-,YEL063C
YBR069C,"[(376574, 378433)]",chrII,-,YBR069C
YBR070C,"[(379221, 379934)]",chrII,-,YBR070C
YBR071W,"[(380411, 381046)]",chrII,+,YBR071W
YBR072C-A,"[(382860, 383021)]",chrII,-,YBR072C-A
YBR072W,"[(382030, 382674)]",chrII,+,YBR072W
YBR073W,"[(383112, 385988)]",chrII,+,YPL082C
YBR074W,"[(386286, 389216)]",chrII,+,YBR074W
YBR076C-A,"[(391351, 391617)]",chrII,-,YBR076C-A
YBR076W,"[(390227, 391291)]",chrII,+,YBR076W
YBR077C,"[(391805, 392293)]",chrII,-,YBR077C
YBR078W,"[(393123, 393180), (393511, 394742)]",chrII,+,YBR078W
YBR079C,"[(395383, 398277)]",chrII,-,YBR079C
YBR080C,"[(398614, 400890)]",chrII,-,YBR080C
YBR081C,"[(401253, 405251)]",chrII,-,YBR081C
YBR082C,"[(406628, 407027), (407123, 407169)]",chrII,-,YBR082C
YBR083W,"[(409169, 410629)]",chrII,+,YBR083W
YBR084C-A,"[(414186, 414753), (415260, 415261)]",chrII,-,YBR084C-A
YBR084W,"[(411054, 413981)]",chrII,+,YBR084W
YBR085C-A,"[(418907, 419164)]",chrII,-,YBR085C-A
YBR085W,"[(415983, 416906)]",chrII,+,YGR257C
YBR086C,"[(420201, 423041)]",chrII,-,YBR086C
YBR087W,"[(423765, 424829)]",chrII,+,YJR068W
YBR088C,"[(424990, 425766)]",chrII,-,YBR088C
YBR089C-A,"[(426190, 426489)]",chrII,-,YPR052C
YBR089W,"[(425183, 425782)]",chrII,+,YBR089W
YBR090C,"[(426333, 426516), (426874, 427058)]",chrII,-,YBR090C
YBR091C,"[(427155, 427484)]",chrII,-,YBR091C
YBR092C,"[(427698, 429101)]",chrII,-,YBR093C
YBR093C,"[(429548, 430951)]",chrII,-,YBR093C
YBR094W,"[(432036, 434297)]",chrII,+,YBR094W
YBR095C,"[(434406, 435698)]",chrII,-,YBR095C
YBR096W,"[(436021, 436713)]",chrII,+,YBR096W
YBR097W,"[(436951, 441315)]",chrII,+,YBR097W
YBR098W,"[(441515, 443590)]",chrII,+,YBR098W
YBR099C,"[(442924, 443307)]",chrII,-,YBR099C
YBR101C,"[(443821, 444693)]",chrII,-,YBR101C
YBR102C,"[(445062, 447323)]",chrII,-,YBR102C
YBR103C-A,"[(449320, 449463)]",chrII,-,YBR103C-A
YBR103W,"[(447709, 449316)]",chrII,+,YBR103W
YBR104W,"[(449667, 450656)]",chrII,+,YGR257C
YBR105C,"[(450881, 451969)]",chrII,-,YGR066C
YBR106W,"[(452658, 453224)]",chrII,+,YBR106W
YBR107C,"[(453793, 454530)]",chrII,-,YBR107C
YBR108W,"[(454822, 457665)]",chrII,+,YBR108W
YBR109C,"[(457919, 458362)]",chrII,-,YOR257W
YBR109W-A,"[(458608, 458832)]",chrII,+,YBR109W-A
YBR110W,"[(458872, 460221)]",chrII,+,YBR110W
YBR111C,"[(461178, 461873)]",chrII,-,YBR111C
YBR111W-A,"[(462139, 462209), (462290, 462429), (462500, 462579)]",chrII,+,YBR111W-A
YBR112C,"[(462870, 465770)]",chrII,-,YBR112C
YBR113W,"[(465566, 466048)]",chrII,+,YBR113W
YBR114W,"[(467248, 469620)]",chrII,+,YBR114W
YBR115C,"[(469748, 473926)]",chrII,-,YBR115C
YBR116C,"[(474199, 474726)]",chrII,-,YBR116C
YBR117C,"[(474392, 476437)]",chrII,-,YBR221C
YBR118W,"[(477671, 479047)]",chrII,+,YAL035W
YBR119W,"[(479338, 479345), (479435, 480323)]",chrII,+,YBR119W
YBR120C,"[(480435, 480923)]",chrII,-,YBR120C
YBR121C,"[(481364, 483367)]",chrII,-,YPR081C
YBR121C-A,"[(482326, 482484)]",chrII,-,YBR121C-A
YBR122C,"[(483970, 484503)]",chrII,-,YBR122C
YBR123C,"[(484742, 486691)]",chrII,-,YBR123C
YBR124W,"[(486507, 486866)]",chrII,+,YBR124W
YBR125C,"[(487199, 488380)]",chrII,-,YBR125C
YBR126C,"[(488905, 490392)]",chrII,-,YDR074W
YBR126W-A,"[(490850, 491056)]",chrII,+,YBR126W-A
YBR126W-B,"[(490927, 491070)]",chrII,+,YBR126W-B
YBR127C,"[(491269, 492822)]",chrII,-,YBR127C
YBR128C,"[(493081, 494115)]",chrII,-,YBR128C
YBR129C,"[(494353, 495339)]",chrII,-,YBR129C
YBR130C,"[(495592, 496869)]",chrII,-,YBR130C
YBR131C-A,"[(497650, 497739)]",chrII,-,YBR131C-A
YBR131W,"[(497163, 499277)]",chrII,+,YBR131W
YBR132C,"[(499652, 501442)]",chrII,-,YBR132C
YBR133C,"[(501804, 504287)]",chrII,-,YBR133C
YBR134W,"[(504243, 504644)]",chrII,+,YBR134W
YBR135W,"[(504854, 505306)]",chrII,+,YPL211W
YBR136W,"[(505668, 512774)]",chrII,+,YBR136W
YBR137W,"[(513044, 513583)]",chrII,+,YBR137W
YBR138C,"[(513762, 515336)]",chrII,-,YBR138C
YBR139W,"[(515664, 517190)]",chrII,+,YBR139W
YBR140C,"[(517350, 526628)]",chrII,-,YKL092C
YBR141C,"[(527025, 528038)]",chrII,-,YBR141C
YBR141W-A,"[(527167, 527262)]",chrII,+,YBR141W-A
YBR142W,"[(528317, 530638)]",chrII,+,YDL031W
YBR143C,"[(530869, 532182)]",chrII,-,YBR143C
YBR144C,"[(533235, 533549)]",chrII,-,YBR144C
YBR145W,"[(533762, 534817)]",chrII,+,YLR070C
YBR146W,"[(535260, 536096)]",chrII,+,YBR146W
YBR147W,"[(536575, 537465)]",chrII,+,YOL092W
YBR148W,"[(537876, 539705)]",chrII,+,YBR148W
YBR149W,"[(539987, 541021)]",chrII,+,YBR149W
YBR150C,"[(541209, 544493)]",chrII,-,YKR064W
YBR151W,"[(545028, 545978)]",chrII,+,YBR151W
YBR152W,"[(546376, 547251)]",chrII,+,YBR152W
YBR153W,"[(547460, 548194)]",chrII,+,YBR153W
YBR154C,"[(548362, 549009)]",chrII,-,YBR154C
YBR155W,"[(549771, 550928)]",chrII,+,YBR155W
YBR156C,"[(551104, 553200)]",chrII,-,YBR156C
YBR157C,"[(553543, 554310)]",chrII,-,YBR157C
YBR158W,"[(556549, 558198)]",chrII,+,YBR158W
YBR159W,"[(558685, 559728)]",chrII,+,YBR159W
YBR160W,"[(560078, 560974)]",chrII,+,YDL108W
YBR161W,"[(561634, 562764)]",chrII,+,YBR161W
YBR162C,"[(563203, 564570)]",chrII,-,YBR162C
YBR162W-A,"[(565231, 565428)]",chrII,+,YBR162W-A
YBR163W,"[(565723, 567480)]",chrII,+,YBR163W
YBR164C,"[(567875, 568426)]",chrII,-,YMR138W
YBR165W,"[(568852, 569685)]",chrII,+,YBR165W
YBR166C,"[(569842, 571200)]",chrII,-,YBR166C
YBR167C,"[(571468, 571890)]",chrII,-,YBR167C
YBR168W,"[(572371, 573612)]",chrII,+,YGR004W
YBR169C,"[(573915, 575996)]",chrII,-,YKL073W
YBR170C,"[(576344, 578086)]",chrII,-,YBR170C
YBR171W,"[(578364, 578984)]",chrII,+,YBR171W
YBR172C,"[(579150, 581372)]",chrII,-,YBR172C
YBR173C,"[(581726, 582172)]",chrII,-,YBR173C
YBR174C,"[(582338, 582652)]",chrII,-,YBR174C
YBR175W,"[(582408, 583355)]",chrII,+,YBR175W
YBR176W,"[(583720, 584658)]",chrII,+,YBR176W
YBR177C,"[(584807, 586162)]",chrII,-,YMR210W
YBR178W,"[(586071, 586445)]",chrII,+,YBR178W
YBR179C,"[(586547, 589114)]",chrII,-,YBR179C
YBR180W,"[(589741, 591459)]",chrII,+,YBR180W
YBR181C,"[(591712, 592416), (592769, 592774)]",chrII,-,YBR181C
YBR182C,"[(593506, 594864)]",chrII,-,YMR042W
YBR182C-A,"[(595361, 595555)]",chrII,-,YBR182C-A
YBR183W,"[(596115, 597065)]",chrII,+,YBR183W
YBR184W,"[(597363, 598934)]",chrII,+,YBR184W
